Kinase Target	ABT-869	AMG-706	AST-487	AZD-1152HQPA	BIRB-796	BMS-387032/SNS-032	CHIR-258/TKI-258	CHIR-265/RAF-265	CI-1033	CP-690550	CP-724714	Dasatinib	EKB-569	Erlotinib	Flavopiridol	Gefitinib	GW-2580	GW-786034	Imatinib	JNJ-7706621	Lapatinib	LY-333531	MLN-518	MLN-8054	PI-103	PKC-412	PTK-787	Roscovitine	SB-202190	SB-203580	SB-431542	Sorafenib	Staurosporine	SU-14813	Sunitinib	VX-680/MK-0457	VX-745	ZD-6474
AAK1							170						3500	1200	5300			2900		200		900				48							1.2	66	11	290		
ABL1		3900	5.6		3400		870	310	1400			0.53	560	310				1700	12	1200				820								680	290	1500	830	13	730	270
ABL1(E255K)			35				6200	1100	1000			2.1	1600	640					77	2200				3600								3900	1000		2800	45		530
ABL1(H396P)			23				910	970	500			1.2	430	230					35	1600				820								1600	210	930	1000	9.1	2300	67
ABL1(M351T)			6.2		3700		670	210	640			0.72	180	250					8.5	820				610								250	220	970	1200	9.4	1500	82
ABL1(Q252H)			8.4		6900		2700	580	200			1.1	230	190					21	1200				640								480	91	2100	890	17	2200	100
ABL1(T315I)	1700		2.3	2800	42		630	1800	550			590	860	190				3400		68				450		3200						160	27	260	140	6.3		78
ABL1(Y253F)			5		5700		2000	350	730			0.96	190	160					44	1200				630								420	270	1200	950	23	1200	94
ABL2			3.4					1900	870			0.17	370	200				3000	10					3300								2900	110		1000	4	1900	69
ACVR1									1700			620			1900					5900			2500										470			1900		150
ACVR1B												330																	950	3000	190		680					
ACVR2A												210								2900																		
ACVR2B												570			2400			2400		5900									4800				4600					
ACVRL1												460								2900																		470
ADCK3									1500			190		1900						1200																		4500
ADCK4									3400				6100	2500															4900	3100								1700
AKT1																										950							20					
AKT2																										780							44		2700			
AKT3																						1400											170					
ALK	1600		1400				3500						7100	1200	670			2200		7100						270		2300					32	490	170	3100		2100
AMPK-alpha1			1400				520	4500												1700						180							3.7	100	19	1100		
AMPK-alpha2							820													1800						460							12	290	89	350		
ANKK1			630	1500	1000		79													500													270	160	310	5600		
ARK5							240													180		1800				41							4.4	460	48	200		
AURKA	1600			590		7400								2200				7100		250				6.5		120							110		1700	4.1		
AURKB	390			7.2			280		4200					1400						160				43		62						440	19	340	380	7.4		
AURKC	71	1900	740	4.4			1100		2800					600				750		86			1600	26		170						210	23	810	220	6.3		1500
AXL	340		570	390			3800		5700				920		3500					2200				440		620						4500	6.8	84	9	210		250
BIKE							54		3800				2200	1200				8800		180		430				220							5.6	27	5.5	65		
BLK		2200	30	1500	680		190		45			0.21	78	190		1200		2600	520					68		500							15	750	65	2200	3100	66
BMPR1A																																	3700					
BMPR2	7800						3100													880														200	570	7100		
BMX									2600			1.4	7400							4700				3100									170			2600		
BRAF		630	1700		2700			1200				500						730							2900				4800	710		540						
BRAF(V600E)		280	130					330				570						430	3300						2300				620	530		260						
BRSK1																				6500						1200							26	5000	3500			
BRSK2																				2700						650							3.5	4100	1100			
BTK									1600			1.4	4900											4200									210			4400		
CAMK1			3000							5000								2100								2000							27	3300	970			
CAMK1D													5900													670							1.1	970	510	4900		
CAMK1G																		3700								1800							23	940	440			
CAMK2A															1700							4500				20							0.16	350	80			
CAMK2B																										210							1.3	2300	1400			
CAMK2D																						4600				36							0.32	760	420			
CAMK2G																						7800				140							0.55	1100	690			
CAMK4			3700												3200																		41	2700	890			
CAMKK1			220				3100						5100		79					2900		5000				130							0.039	850	420			
CAMKK2			220										2500		430					2600		2400				73							0.16	2500	1500			
CDC2L1	1300		1400	1200		98												2100		150																290		
CDC2L2	1200		1100	1000		48												1300		110																260		
CDK11	74		1.5		200	950		5100			1100				57				5500							7200						250	190					
CDK2			760			69									550					23								3400					7					
CDK3			82			56									410					180													30					
CDK5			1000		2000	740									110					240								1900					84					
CDK7	2900		4.5	6200		31	2600								23					760								1800				140	45	930	330			
CDK8	95		1.4		220	1200					2300				120																	310	510					
