Protein_0me	CHIR-265/RAF-265	Sunitinib	CHIR-258/TKI-258	AMG-706	SB-431542	Dasatinib	ZD-6474	BMS-387032/SNS-032	ABT-869	AST-487	Sorafenib	Lapatinib	MLN-518	EKB-569	Roscovitine	SU-14813	PKC-412	Erlotinib	JNJ-7706621	SB-202190	CP-690550	VX-680/MK-0457	Flavopiridol	CP-724714	Staurosporine	LY-333531	CI-1033	Imatinib	PI-103	GW-2580	Gefitinib	AZD-1152HQPA	VX-745	MLN-8054	SB-203580	BIRB-796	SB-203580	GW-786034	PTK-787
2G01	-47.943	-27.982	-29.351	-40.311	-43.547	-37.694	-34.842	-22.269	-40.598	-44.255	-44.594	-33.970	-37.732	-38.205	-33.257	-37.180	-28.701	-38.751	-33.208	-34.138	-32.560	-41.969	-24.218	-44.013	-24.577	-28.503	-45.573	-40.933	-30.324	-38.918	-39.266	-36.580	-28.846	-42.116	-36.179	-44.009	-38.577	-34.124	-37.562
1PMN	-46.787	-29.781	-23.661	-39.969	-41.595	-43.140	-36.428	-19.942	-43.839	-42.947	-46.391	-36.398	-33.852	-37.349	-40.890	-43.256	-26.826	-45.525	-39.867	-39.015	-32.134	-44.186	-28.992	-42.429	-18.571	-26.189	-47.428	-41.649	-36.637	-39.617	-43.742	-37.345	-34.680	-48.573	-46.292	-40.383	-45.882	-33.350	-42.454
3E7O	-50.430	-33.382	-32.838	-40.969	-34.065	-39.442	-35.418	-25.382	-41.733	-42.447	-44.738	-40.897	-33.625	-35.367	-36.365	-36.074	-22.161	-37.923	-32.088	-31.629	-29.865	-38.623	-28.646	-43.537	-15.352	-28.306	-44.642	-39.616	-32.524	-39.004	-42.024	-39.635	-32.043	-30.030	-35.327	-43.505	-32.398	-33.707	-36.770
2OU7	-48.181	-39.701	-42.237	-42.373	-39.369	-45.800	-42.477	-37.350	-43.038	-45.039	-53.891	-36.652	-34.483	-47.805	-36.428	-42.710	-38.046	-37.259	-34.490	-35.754	-35.853	-50.078	-36.110	-35.923	-35.266	-31.388	-48.323	-42.987	-33.240	-45.253	-46.100	-41.534	-34.342	-38.172	-37.763	-43.085	-41.129	-43.490	-38.017
2BUJ	-42.468	-40.227	-34.967	-31.410	-34.427	-45.392	-42.678	-35.939	-32.872	-48.833	-45.706	-42.333	-41.034	-50.271	-32.034	-39.687	-28.162	-39.238	-30.516	-28.977	-28.696	-43.320	-30.351	-38.792	-31.800	-30.320	-40.557	-42.778	-32.778	-46.603	-41.448	-44.083	-30.149	-30.525	-34.189	-37.303	-34.620	-43.975	-33.594
3COK	-45.934	-36.315	-30.244	-36.200	-38.859	-43.061	-38.937	-29.408	-39.545	-41.891	-38.137	-33.876	-34.916	-36.508	-35.285	-41.008	-28.803	-46.888	-38.012	-31.865	-37.479	-43.265	-32.858	-39.722	-37.281	-37.881	-43.489	-43.465	-30.664	-41.447	-41.498	-40.001	-37.342	-45.913	-41.708	-41.370	-37.388	-39.317	-41.460
3OCB	-46.125	-50.763	-66.839	-41.704	-37.339	-85.614	-67.826	-72.599	-40.203	-70.839	-48.688	-39.454	-59.340	-52.460	-34.305	-41.656	-32.397	-37.252	-37.161	-64.091	-68.679	-70.969	-71.606	-42.654	-49.475	-10.738	-43.844	-65.052	-26.713	-63.261	-66.713	-59.253	-40.752	-28.427	-40.915	-43.802	-42.631	-72.768	-40.811
2X39	-49.844	-51.736	-69.336	-43.536	-42.143	-83.991	-67.332	-75.524	-41.439	-70.578	-52.913	-44.861	-60.758	-56.814	-31.392	-45.673	-35.898	-40.836	-37.292	-60.519	-69.850	-71.742	-67.353	-41.000	-32.298	-39.444	-45.783	-67.505	-28.087	-71.997	-69.824	-41.988	-44.793	-27.532	-43.063	-44.255	-43.692	-74.091	-44.591
2W4O	-42.567	-41.349	-38.595	-35.346	-35.975	-44.396	-39.590	-30.215	-37.870	-50.846	-44.212	-35.794	-39.746	-40.751	-39.706	-32.770	-27.510	-35.532	-32.141	-34.879	-31.166	-37.787	-35.898	-40.801	-29.151	-32.346	-39.419	-41.900	-30.943	-43.745	-40.721	-39.399	-30.711	-27.083	-39.626	-44.846	-41.201	-44.447	-34.148
2CLQ	-43.674	-34.515	-32.405	-34.723	-33.089	-36.282	-37.088	-26.374	-36.910	-40.191	-41.570	-33.133	-39.258	-38.153	-34.780	-34.428	-32.594	-35.001	-32.342	-30.187	-30.590	-38.359	-34.895	-38.596	-31.820	-29.283	-39.168	-42.951	-29.895	-34.653	-38.099	-37.087	-26.290	-28.032	-31.367	-42.836	-32.311	-33.548	-33.164
